entry,exit,entry_px,exit_px,pnl,ret_pct
2016-01-02 00:00:00+00:00,2016-02-02 00:00:00+00:00,434.87,371.79,-1450.5484397636083,-14.505484397636081
2016-04-02 00:00:00+00:00,2016-10-02 00:00:00+00:00,416.31,612.98,4038.866802026594,47.241238500156136
2016-11-02 00:00:00+00:00,2017-05-02 00:00:00+00:00,726.6,1390.86,11508.280147697233,91.42031379025597
2017-07-02 00:00:00+00:00,2017-09-02 00:00:00+00:00,2421.3,4921.71,24883.895378635287,103.26725312848465
2017-10-02 00:00:00+00:00,2017-12-02 00:00:00+00:00,4369.33,10840.45,72541.70630562768,148.1032561056272
2018-01-02 00:00:00+00:00,2018-02-02 00:00:00+00:00,13394.2,9010.87,-39768.84814153472,-32.72558271490645
2018-05-02 00:00:00+00:00,2018-07-02 00:00:00+00:00,9066.9,6345.48,-24538.178136212766,-30.014889322701265
2018-11-02 00:00:00+00:00,2018-12-02 00:00:00+00:00,6343.85,4140.4,-19872.912342860946,-34.733639666763885
2019-02-02 00:00:00+00:00,2019-03-02 00:00:00+00:00,3434.83,3805.0,4024.357818787241,10.776952571160736
2019-06-02 00:00:00+00:00,2019-08-02 00:00:00+00:00,8560.1,10416.79,8972.44057425484,21.690050349879098
2019-09-02 00:00:00+00:00,2020-03-02 00:00:00+00:00,9767.56,8516.0,-6450.162977434382,-12.813435494637337
2020-04-02 00:00:00+00:00,2021-06-02 00:00:00+00:00,6669.95,36693.3,197556.46075628337,450.12856168337106
2021-07-02 00:00:00+00:00,2021-09-02 00:00:00+00:00,33537.11,48830.93,110105.5469954141,45.60267715375594
2021-10-02 00:00:00+00:00,2022-01-02 00:00:00+00:00,48185.61,47745.25,-3212.763238064479,-0.9138827961293838
2022-04-02 00:00:00+00:00,2022-06-02 00:00:00+00:00,46306.38,29791.96,-124229.15310584818,-35.66337943065297
2022-07-02 00:00:00+00:00,2022-08-02 00:00:00+00:00,19263.41,23291.67,46864.458244938345,20.911458563151577
2023-02-02 00:00:00+00:00,2023-08-02 00:00:00+00:00,23736.0,29697.0,68051.597380883,25.11375126390294
2023-10-02 00:00:00+00:00,2024-03-02 00:00:00+00:00,27995.0,62433.0,417051.0614773414,123.01482407572779
2024-04-02 00:00:00+00:00,2025-01-31 00:00:00+00:00,69694.0,102412.0,354941.5734461297,46.9452176657962
